,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,RH_pred,AH_pred,Time
0,2.6,1360.0,11.881723488680304,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606,51.10656,0.76010245,2004-03-10 18:00:00
1,2.0,1292.25,9.397164889581603,954.75,103.0,1173.75,92.0,1558.75,972.25,13.299999952316,47.699999809265,0.7254874492424674,46.74016,0.69641316,2004-03-10 19:00:00
2,2.2,1402.0,8.997816871326798,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.900000095367,53.97500038147,0.7502390673981953,55.097748,0.7344478,2004-03-10 20:00:00
3,2.2,1375.5,9.228796421407274,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.7867125330859253,60.63325,0.7505613,2004-03-10 21:00:00
4,1.6,1272.25,6.518223669074141,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593,63.398838,0.8038542,2004-03-10 22:00:00
5,1.2,1197.0,4.741012362478748,750.25,89.0,1336.5,96.0,1393.0,949.25,11.175000190735,59.175000190735,0.7847716643397448,61.09192,0.76906353,2004-03-10 23:00:00
6,1.2,1185.0,3.624399189797516,689.5,62.0,1461.75,77.0,1332.75,732.5,11.324999809265,56.77499961853,0.7603119392843289,58.55291,0.77469385,2004-03-11 00:00:00
7,1.0,1136.25,3.3266769916607997,672.0,62.0,1453.25,76.0,1332.75,729.5,10.674999952316,60.0,0.7702384578230451,61.42986,0.7455586,2004-03-11 01:00:00
8,0.9,1094.0,2.3394161950867094,608.5,45.0,1579.0,60.0,1276.0,619.5,10.650000095367,59.674999237061,0.7648187256861201,60.131794,0.73356074,2004-03-11 02:00:00
9,0.6,1009.75,1.6966582576513223,560.75,45.0,1705.0,60.0,1234.75,501.25,10.250000238419,60.200000762939,0.7516571648306898,60.553192,0.72961557,2004-03-11 03:00:00
10,0.6,1011.0,1.2936197573720989,526.75,21.0,1817.5,34.0,1196.75,445.25,10.075000047684,60.474999427795,0.7464945161292466,59.036514,0.7317632,2004-03-11 04:00:00
11,0.7,1066.0,1.1334305711878574,512.0,16.0,1918.0,28.0,1182.0,421.75,10.999999761581,56.175000190735,0.7365596001806396,61.89512,0.76198524,2004-03-11 05:00:00
12,0.7,1051.75,1.6037678797288073,553.25,34.0,1738.25,48.0,1221.25,471.5,10.450000047684,58.125,0.7352950830247281,58.961075,0.730301,2004-03-11 06:00:00
13,1.1,1144.0,3.2436181473100727,667.0,98.0,1489.75,82.0,1339.0,729.75,10.200000047684,59.599999427795,0.7417361628563275,62.853725,0.7690002,2004-03-11 07:00:00
14,2.0,1333.25,8.013772987090615,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,57.425000190735,0.7407945757399766,59.528008,0.7127283,2004-03-11 08:00:00
15,2.2,1351.0,9.540642925320222,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,60.599998474121,0.7691107927579083,61.63947,0.6973603,2004-03-11 09:00:00
16,1.7,1233.25,6.335782437222818,827.25,112.0,1218.0,98.0,1445.75,859.75,10.799999952316,58.35000038147,0.7551830826522904,59.564747,0.7161115,2004-03-11 10:00:00
17,1.5,1178.75,4.971583761462568,762.0,95.0,1327.5,92.0,1361.75,670.5,10.499999761581,57.925000190735,0.7351607796315153,55.91687,0.69093883,2004-03-11 11:00:00
18,1.6,1236.0,5.216918999884966,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038,65.25056,0.7474167,2004-03-11 12:00:00
19,1.9,1285.5,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771,76.00414,0.8207458,2004-03-11 13:00:00
20,2.9,1371.0,11.539007213563714,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425,78.154366,0.846944,2004-03-11 14:00:00
21,2.2,1310.0,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445,78.88736,0.88830096,2004-03-11 15:00:00
22,2.2,1291.75,8.301413416761816,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317,71.3201,0.81665486,2004-03-11 16:00:00
23,2.9,1383.0,11.151581216129403,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434,72.57118,0.8579008,2004-03-11 17:00:00
24,4.8,1580.75,20.799216861460543,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666,69.59274,0.8846609,2004-03-11 18:00:00
25,6.9,1775.5,27.359807493586764,1487.75,383.0,702.25,172.0,2332.5,1704.0,9.6500000953674,69.300001144409,0.8319211444100879,69.73629,0.8541532,2004-03-11 19:00:00
26,6.1,1640.0,24.017756935949226,1404.0,351.0,742.75,165.0,2191.25,1653.75,9.6499998569489,67.75,0.8133139353625914,66.73259,0.84277725,2004-03-11 20:00:00
27,3.9,1312.75,12.779368248758171,1076.25,240.0,957.25,136.0,1706.5,1284.75,9.125,63.974999427795,0.7419242244892506,66.549805,0.70529276,2004-03-11 21:00:00
28,1.5,964.5,4.707071919244755,748.5,94.0,1325.25,85.0,1332.5,821.0,8.1750001907349,63.39999961853,0.6904844466414399,62.856197,0.6267929,2004-03-11 22:00:00
29,1.0,912.75,2.6457215096105893,629.25,47.0,1564.5,53.0,1252.25,551.75,8.2499998807907,60.824998855591,0.6657443604063102,61.915234,0.6895676,2004-03-11 23:00:00
30,1.7,1080.25,5.85480151426304,805.0,122.0,1253.5,97.0,1375.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573,60.332268,0.6353723,2004-03-12 00:00:00
31,1.9,1043.75,6.37429750967153,829.0,133.0,1247.25,110.0,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635,59.90293,0.60989887,2004-03-12 01:00:00
32,1.4,987.75,4.132341795103469,718.0,82.0,1395.5,91.0,1303.5,691.5,7.125,61.799999237061,0.6275973687868803,62.69219,0.61799943,2004-03-12 02:00:00
33,0.8,888.75,1.8694446351370275,574.25,82.0,1680.25,91.0,1187.0,512.0,6.9750000238419,62.27499961853,0.6261075278097894,66.50842,0.64402395,2004-03-12 03:00:00
34,0.8,831.0,1.0682926116418547,505.75,21.0,1892.75,32.0,1133.75,384.0,6.1000000238419,65.900001525879,0.6247536319724682,70.582054,0.6846975,2004-03-12 04:00:00
35,0.6,847.25,1.0224145989759525,501.25,30.0,1894.5,44.0,1154.75,394.0,6.2749999761581,64.97500038147,0.6232823211022999,71.75051,0.69267875,2004-03-12 05:00:00
36,0.8,927.0,1.8304312258349797,571.25,56.0,1684.75,71.0,1222.75,486.5,6.75,62.949999809265,0.6234275392144519,69.94962,0.6828098,2004-03-12 06:00:00
37,1.4,1090.5,4.359340996864498,730.25,109.0,1387.0,104.0,1360.75,748.25,6.4499999284744,65.075001716614,0.6316281144389537,71.47294,0.6695705,2004-03-12 07:00:00
38,4.4,1587.0,17.865586704833834,1235.5,307.0,896.5,141.0,1900.25,1400.25,7.3250000476837,63.14999961853,0.6499331393073879,69.86964,0.67819214,2004-03-12 08:00:00
39,4.4,1544.5,22.074162063223632,1353.0,307.0,767.25,141.0,2058.0,1587.75,9.2250000238419,56.199998855591,0.6560651189171942,57.84915,0.7475904,2004-03-12 09:00:00
40,3.1,1350.25,14.02701136675159,1117.5,187.0,912.0,122.0,1711.75,1237.0,13.224999904633,41.749999046326,0.6319501309937225,45.27866,0.6849447,2004-03-12 10:00:00
41,2.7,1262.75,11.645646559704057,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.325000047684,38.449999809265,0.6243042942153901,37.831642,0.65674543,2004-03-12 11:00:00
42,2.1,1206.25,10.224662143952827,986.0,143.0,1034.5,113.0,1537.0,959.0,15.025000095367,36.5,0.6195323226057363,34.695824,0.61550057,2004-03-12 12:00:00
43,2.5,1251.5,11.039936039300839,1015.75,160.0,1007.5,116.0,1592.75,983.0,16.100000143051,34.474999427795,0.6261647401566796,33.42029,0.6456771,2004-03-12 13:00:00
